"CVE_ENT","denuncias_homs","poblacion","tasahom","bribes_preval","bribes_inci","bribes_conc","bribes_abvic","bribes_abincs","Incidence","Prevalence","Concentration"
1,39,1252265,3.11435678550467,42.25352,104.9936,2.484848,33,82,67.86172,57.61844,1.177778
2,775,3381080,22.9216699989353,56.95142,80.40201,1.411765,34,48,95.47739,82.07705,1.163265
3,56,718196,7.79731438214638,42.19949,86.95652,2.060606,33,68,51.1509,40.92072,1.25
4,67,880299,7.61105033630619,39.54214,89.49011,2.263158,38,86,190.42664,123.82934,1.537815
5,645,2890108,22.3175050897752,29.87013,59.74026,2,23,46,58.44156,37.66234,1.551724
6,178,698295,25.4906593918043,16.92866,31.43894,1.857143,14,26,159.61306,93.10762,1.714286
7,503,5119186,9.82578089563458,47.38956,86.74699,1.830508,59,108,92.36948,60.24096,1.533333
8,1443,3635966,39.6868397559273,32.05791,46.53568,1.451613,31,45,105.48087,61.01344,1.728814
9,749,8893742,8.42165198855555,36.36364,155.68182,4.28125,32,137,78.40909,56.81818,1.38
10,476,1728429,27.5394592430467,26.98864,41.19318,1.526316,19,29,102.27273,53.97727,1.894737
11,641,5719709,11.2068638456956,50.5618,80.52434,1.592593,27,43,117.97753,99.25094,1.188679
12,2087,3523858,59.2248609336699,74.91487,98.75142,1.318182,66,87,287.17367,190.6924,1.505952
13,123,2806334,4.38294230123713,32.66332,130.65327,4,26,104,187.18593,69.09548,2.709091
14,1099,7742303,14.1947428303956,48.32215,72.48322,1.5,36,54,85.90604,65.77181,1.306122
15,1932,16364210,11.806252791916,84.3949,181.52866,2.150943,53,114,219.74522,164.01274,1.339806
16,902,4529914,19.9120778010355,41.9652,75.74207,1.804878,41,74,246.67349,123.84852,1.991736
17,597,1874188,31.853794816742,94.1358,364.19753,3.868852,61,236,290.12346,169.75309,1.709091
18,151,1178403,12.8139524424157,49.6988,93.37349,1.878788,33,62,106.92771,61.74699,1.731707
19,719,4941059,14.5515364216456,36.99284,121.71838,3.290323,31,102,133.65155,75.179,1.777778
20,536,3959042,13.53862878949,67.81609,131.03448,1.932203,59,114,209.1954,114.94253,1.82
21,409,6067607,6.74071343117641,59.68586,113.08901,1.894737,57,108,150.78534,77.48691,1.945946
22,111,1943889,5.71020258872806,23.83532,31.41928,1.318182,22,29,83.42362,67.17226,1.241935
23,214,1484960,14.4111625902381,71.34071,125.46125,1.758621,58,102,72.57073,49.20049,1.475
24,261,2702145,9.65899313323304,19.46721,33.81148,1.736842,19,33,116.80328,66.59836,1.753846
25,1208,2932313,41.1961478873504,47.15673,88.7656,1.882353,34,64,128.98752,51.31761,2.513514
26,575,2851462,20.165094256911,31.49606,111.81102,3.55,20,71,45.66929,29.92126,1.526316
27,140,2334493,5.99701948131778,29.3501,64.98952,2.214286,28,62,107.96646,51.36268,2.102041
28,555,3461336,16.0342711600376,60.95353,103.19855,1.693069,101,171,172.60109,108.63005,1.588889
29,70,1242734,5.63274200271337,72.48018,420.15855,5.796875,64,371,141.56285,87.20272,1.623377
30,863,7923198,10.892066562012,45.71429,199.04762,4.354167,48,209,211.42857,114.28571,1.85
31,40,2064151,1.93784272565331,41.98473,82.06107,1.954545,44,86,48.66412,23.85496,2.04
32,167,1550179,10.7729494464833,27.22941,49.01293,1.8,40,72,73.5194,56.50102,1.301205
